cyp2c19,cyp2d6,cyp3a4,cyp1a2,cyp2c9,CID,SID
,0.0,0.0,0.0,,3240682.0,4246319.0
,0.0,1.0,0.0,,579369.0,4246321.0
,,,0.0,1.0,3240684.0,4246322.0
0.0,,,1.0,0.0,698373.0,4246349.0
1.0,0.0,1.0,1.0,0.0,2771368.0,4246352.0
,0.0,0.0,0.0,,3240715.0,4246359.0
,0.0,0.0,0.0,0.0,5322459.0,4246363.0
1.0,0.0,,0.0,,3240719.0,4246365.0
0.0,0.0,0.0,0.0,,3240721.0,4246367.0
,0.0,0.0,0.0,0.0,3240742.0,4246388.0
1.0,,,1.0,1.0,2927070.0,4246398.0
,0.0,,0.0,0.0,3240754.0,4246403.0
0.0,,0.0,1.0,0.0,1104762.0,4246413.0
,0.0,0.0,0.0,0.0,3240766.0,4246417.0
0.0,0.0,,0.0,0.0,3240767.0,4246418.0
0.0,0.0,,0.0,0.0,571564.0,4246421.0
,0.0,,0.0,1.0,3240771.0,4246423.0
1.0,0.0,1.0,1.0,1.0,3240776.0,4246428.0
,1.0,,,,3240794.0,4246446.0
1.0,0.0,1.0,0.0,1.0,3240799.0,4246451.0
,0.0,,1.0,,135412488.0,4246453.0
,0.0,1.0,0.0,,3240807.0,4246460.0
1.0,,,0.0,,3240817.0,4246471.0
,0.0,0.0,1.0,0.0,3240818.0,4246472.0
0.0,0.0,0.0,1.0,,1263621.0,4246476.0
1.0,0.0,0.0,0.0,,3240822.0,4246477.0
,0.0,0.0,,,3240836.0,4246493.0
,0.0,1.0,,,3240839.0,4246497.0
,0.0,,0.0,,749966.0,4246498.0
,,1.0,0.0,0.0,3240844.0,4246504.0
0.0,0.0,,,0.0,3240846.0,4246506.0
1.0,0.0,,0.0,,3240849.0,4246510.0
0.0,,,,,3240859.0,4246522.0
0.0,,0.0,0.0,0.0,3240860.0,4246524.0
,,,0.0,0.0,3240900.0,4246573.0
0.0,0.0,,0.0,0.0,3240908.0,4246582.0
1.0,0.0,1.0,,,3240913.0,4246588.0
0.0,0.0,0.0,0.0,0.0,3240920.0,4246597.0
,,1.0,,,3240921.0,4246598.0
,0.0,,0.0,1.0,987756.0,4246613.0
0.0,0.0,0.0,,0.0,3240947.0,4246626.0
1.0,0.0,,,1.0,3240958.0,4246639.0
0.0,1.0,,1.0,,3240959.0,4246640.0
1.0,,1.0,1.0,,3240975.0,4246659.0
1.0,0.0,,,,3240987.0,4246671.0
1.0,,,1.0,1.0,3240989.0,4246673.0
1.0,1.0,,,1.0,3240990.0,4246674.0
1.0,0.0,,1.0,,3240994.0,4246678.0
1.0,,,0.0,1.0,3240997.0,4246683.0
1.0,0.0,,,,3241000.0,4246686.0
0.0,,,0.0,0.0,3241002.0,4246688.0
,,0.0,,0.0,752452.0,4246708.0
0.0,0.0,,0.0,,3241016.0,4246709.0
,0.0,0.0,,1.0,3241018.0,4246711.0
,0.0,,0.0,0.0,3241025.0,4246720.0
1.0,1.0,1.0,1.0,,3241027.0,4246722.0
1.0,0.0,,1.0,1.0,3241034.0,4246731.0
1.0,,,1.0,1.0,3241043.0,4246741.0
0.0,,1.0,0.0,,3241044.0,4246742.0
,0.0,0.0,,,3241056.0,4246755.0
0.0,,,,,3241070.0,4246771.0
1.0,0.0,,,0.0,3241074.0,4246775.0
1.0,0.0,,0.0,1.0,3241080.0,4246782.0
,0.0,0.0,0.0,0.0,3241084.0,4246787.0
1.0,0.0,,,1.0,3241087.0,4246791.0
,,1.0,0.0,1.0,3241109.0,4246816.0
,0.0,1.0,0.0,1.0,3241112.0,4246819.0
1.0,,,0.0,1.0,3241114.0,4246821.0
0.0,0.0,1.0,1.0,,3241119.0,4246827.0
,0.0,1.0,,,3241127.0,4246835.0
1.0,0.0,0.0,1.0,0.0,3241128.0,4246836.0
0.0,0.0,,0.0,0.0,3241130.0,4246838.0
0.0,0.0,,,1.0,3241138.0,4246850.0
1.0,0.0,,1.0,,3241143.0,4246855.0
,0.0,1.0,,,3241165.0,4246879.0
0.0,0.0,,0.0,0.0,3241172.0,4246887.0
0.0,,0.0,,,3241174.0,4246889.0
,0.0,,0.0,,3241177.0,4246892.0
1.0,,1.0,1.0,1.0,5292846.0,4246897.0
,,1.0,0.0,,3241189.0,4246905.0
,0.0,0.0,1.0,0.0,1518984.0,4246919.0
,1.0,,0.0,,3241222.0,4246945.0
,0.0,0.0,1.0,,3104616.0,4246954.0
1.0,,0.0,,0.0,3241233.0,4246957.0
0.0,0.0,0.0,0.0,0.0,3241236.0,4246962.0
1.0,0.0,0.0,,,3241242.0,4246968.0
1.0,,1.0,0.0,1.0,3241244.0,4246970.0
,0.0,,0.0,0.0,3241265.0,4246994.0
1.0,0.0,,1.0,1.0,66738.0,4246998.0
,0.0,,,0.0,68487.0,4247014.0
0.0,0.0,1.0,0.0,,3241290.0,4247030.0
,0.0,0.0,0.0,0.0,693071.0,4247040.0
,,1.0,,,3241301.0,4247044.0
,0.0,,0.0,0.0,3241346.0,4247099.0
0.0,0.0,0.0,,0.0,2733295.0,4247103.0
,0.0,0.0,1.0,0.0,3241353.0,4247110.0
,,0.0,,,3241365.0,4247125.0
1.0,0.0,1.0,0.0,0.0,2974470.0,4247136.0
1.0,0.0,,0.0,,3241399.0,4247163.0
0.0,0.0,0.0,1.0,0.0,700794.0,4247167.0
1.0,0.0,0.0,,1.0,3241404.0,4247169.0
0.0,,0.0,0.0,0.0,3241439.0,4247208.0
,0.0,,0.0,0.0,3241450.0,4247219.0
1.0,0.0,1.0,,,3241461.0,4247230.0
0.0,0.0,0.0,,0.0,2972179.0,4247237.0
,0.0,0.0,0.0,0.0,3241475.0,4247246.0
0.0,0.0,0.0,0.0,0.0,3241478.0,4247249.0
,,0.0,,0.0,3241479.0,4247250.0
1.0,,,1.0,,3241490.0,4247261.0
0.0,0.0,,0.0,0.0,3241491.0,4247262.0
,0.0,,,,3241493.0,4247264.0
0.0,0.0,0.0,,0.0,3241497.0,4247268.0
,0.0,,0.0,1.0,3241504.0,4247275.0
0.0,0.0,0.0,1.0,0.0,3241505.0,4247276.0
1.0,,1.0,,1.0,3241522.0,4247296.0
0.0,0.0,0.0,0.0,0.0,3241524.0,4247299.0
,,0.0,0.0,0.0,3241530.0,4247305.0
1.0,,1.0,,0.0,744264.0,4247316.0
0.0,0.0,,0.0,0.0,3241542.0,4247320.0
0.0,0.0,0.0,,0.0,3241555.0,4247334.0
0.0,1.0,0.0,0.0,0.0,3241559.0,4247338.0
0.0,0.0,0.0,0.0,,3241568.0,4247349.0
1.0,,1.0,0.0,0.0,3241580.0,4247361.0
,0.0,0.0,,,3241582.0,4247364.0
,0.0,0.0,0.0,,3241617.0,4247401.0
1.0,1.0,1.0,1.0,1.0,3241624.0,4247409.0
,0.0,0.0,,1.0,3241631.0,4247416.0
0.0,0.0,0.0,1.0,0.0,676595.0,4247422.0
,,0.0,,0.0,3151386.0,4247434.0
,,,1.0,,3241647.0,4247435.0
0.0,0.0,1.0,0.0,,3241650.0,4247438.0
1.0,,,,1.0,3241663.0,4247451.0
,0.0,,1.0,1.0,339661.0,4247453.0
0.0,0.0,0.0,0.0,0.0,3241669.0,4247458.0
1.0,0.0,1.0,1.0,0.0,3241670.0,4247459.0
0.0,0.0,0.0,0.0,0.0,3241680.0,4247469.0
,0.0,0.0,0.0,0.0,3241684.0,4247474.0
0.0,0.0,0.0,1.0,0.0,3241690.0,4247480.0
0.0,0.0,,0.0,0.0,3241708.0,4247501.0
1.0,0.0,1.0,1.0,,3241709.0,4247502.0
,0.0,0.0,1.0,,747239.0,4247506.0
,0.0,0.0,1.0,,137479.0,4247510.0
,0.0,0.0,0.0,,3241718.0,4247514.0
1.0,,1.0,0.0,1.0,3241721.0,4247517.0
0.0,0.0,,0.0,0.0,3241722.0,4247519.0
1.0,1.0,,,,3241727.0,4247524.0
0.0,0.0,0.0,0.0,0.0,3241729.0,4247527.0
1.0,1.0,0.0,0.0,,3241735.0,4247533.0
0.0,0.0,0.0,,,839995.0,4247536.0
1.0,,,0.0,,3241747.0,4247546.0
1.0,0.0,1.0,,1.0,3241755.0,4247554.0
,0.0,0.0,0.0,1.0,135412064.0,4247564.0
1.0,0.0,1.0,0.0,1.0,135450217.0,4247569.0
,0.0,1.0,,,3241767.0,4247570.0
,0.0,,0.0,,3241771.0,4247574.0
0.0,0.0,,0.0,,3241773.0,4247577.0
1.0,0.0,0.0,,1.0,3241776.0,4247580.0
1.0,,0.0,1.0,1.0,3241797.0,4247608.0
,,0.0,1.0,,3241814.0,4247629.0
1.0,,,0.0,0.0,304798.0,4247631.0
1.0,1.0,0.0,1.0,1.0,3241819.0,4247636.0
1.0,,,,1.0,3241821.0,4247638.0
1.0,0.0,,,1.0,619280.0,4247641.0
0.0,0.0,0.0,0.0,0.0,243414.0,4247644.0
,0.0,,0.0,,3241826.0,4247646.0
0.0,,,0.0,,3241845.0,4247669.0
1.0,0.0,0.0,0.0,,3241853.0,4247677.0
1.0,0.0,,1.0,,3241864.0,4247689.0
,0.0,,0.0,,3241872.0,4247698.0
0.0,0.0,,,,2134777.0,4247705.0
,0.0,0.0,1.0,0.0,3241878.0,4247708.0
1.0,0.0,0.0,0.0,1.0,3241881.0,4247711.0
,0.0,,,0.0,3241907.0,4247742.0
1.0,,1.0,1.0,,135544650.0,4247768.0
1.0,1.0,1.0,1.0,1.0,3241951.0,4247785.0
0.0,0.0,,1.0,,3241956.0,4247790.0
1.0,,1.0,,,2053792.0,4247838.0
0.0,0.0,0.0,,0.0,714398.0,4247846.0
0.0,0.0,0.0,0.0,0.0,756904.0,4247852.0
0.0,0.0,0.0,0.0,0.0,3242007.0,4247854.0
,0.0,,0.0,,3242009.0,4247856.0
,0.0,0.0,0.0,,3242012.0,4247859.0
,0.0,0.0,,0.0,3242025.0,4247875.0
0.0,0.0,0.0,,,3242027.0,4247877.0
,0.0,0.0,1.0,,3242055.0,4247905.0
1.0,0.0,1.0,0.0,1.0,3242061.0,4247911.0
,,,1.0,0.0,2641318.0,4247932.0
0.0,0.0,0.0,,,81146.0,4247934.0
0.0,0.0,1.0,0.0,0.0,3242099.0,4247959.0
0.0,0.0,0.0,,,3242100.0,4247960.0
1.0,0.0,,,,3242127.0,4247991.0
,,1.0,,,3242156.0,4248024.0
0.0,0.0,0.0,,,3242163.0,4248033.0
1.0,,,,,3242165.0,4248035.0
0.0,0.0,0.0,0.0,0.0,776387.0,4248061.0
,0.0,,,,3242187.0,4248063.0
,1.0,,0.0,,3242188.0,4248064.0
0.0,0.0,0.0,,0.0,3242207.0,4248087.0
0.0,0.0,0.0,0.0,0.0,773246.0,4248095.0
1.0,0.0,,1.0,,135544651.0,4248127.0
,,1.0,,0.0,3242244.0,4248128.0
,0.0,1.0,0.0,0.0,3242258.0,4248144.0
1.0,1.0,0.0,1.0,1.0,3242274.0,4248161.0
1.0,,1.0,,,3242279.0,4248167.0
1.0,,1.0,,,3242293.0,4248182.0
0.0,0.0,0.0,0.0,0.0,3242296.0,4248185.0
1.0,0.0,,0.0,,3242299.0,4248188.0
1.0,,1.0,,1.0,3242305.0,4248194.0
0.0,0.0,,1.0,,3242306.0,4248195.0
1.0,,1.0,1.0,1.0,1069530.0,4248196.0
1.0,,1.0,,,3242321.0,4248214.0
0.0,0.0,,,,3242349.0,4248247.0
0.0,0.0,,0.0,0.0,3242357.0,4248255.0
1.0,0.0,1.0,,1.0,2924548.0,4248260.0
1.0,1.0,1.0,1.0,1.0,3242371.0,4248274.0
,0.0,,1.0,,3242372.0,4248275.0
0.0,0.0,,,,3133964.0,4248277.0
1.0,,1.0,,1.0,3242379.0,4248285.0
0.0,0.0,0.0,,,3242388.0,4248294.0
,,1.0,,1.0,3242389.0,4248295.0
0.0,0.0,0.0,1.0,0.0,3242391.0,4248297.0
0.0,0.0,0.0,0.0,0.0,2833784.0,4248302.0
0.0,0.0,1.0,,,3242395.0,4248304.0
1.0,0.0,1.0,,,3242396.0,4248305.0
,0.0,0.0,,0.0,3242406.0,4248316.0
1.0,0.0,0.0,,1.0,3242412.0,4248323.0
0.0,0.0,,0.0,,3242418.0,4248329.0
1.0,0.0,0.0,,,3242422.0,4248333.0
0.0,0.0,0.0,0.0,0.0,135496644.0,4248335.0
,0.0,0.0,0.0,0.0,3242429.0,4248341.0
0.0,0.0,,1.0,0.0,3242433.0,4248345.0
1.0,0.0,,0.0,,3242442.0,4248354.0
0.0,0.0,0.0,0.0,0.0,3242468.0,4248385.0
1.0,,,1.0,,177728.0,4248391.0
1.0,0.0,,0.0,0.0,3242474.0,4248397.0
,0.0,0.0,1.0,,3242475.0,4248398.0
0.0,0.0,0.0,0.0,1.0,3242488.0,4248413.0
1.0,0.0,1.0,,1.0,3242491.0,4248417.0
1.0,1.0,1.0,1.0,,866705.0,4248419.0
1.0,,,,,3242498.0,4248426.0
1.0,0.0,,,,3242500.0,4248428.0
0.0,,,,,3242503.0,4248431.0
0.0,0.0,,,1.0,1521222.0,4248450.0
,0.0,,0.0,,3242530.0,4248461.0
1.0,0.0,,1.0,1.0,3242532.0,4248463.0
0.0,0.0,0.0,0.0,,3242542.0,4248473.0
0.0,0.0,0.0,0.0,0.0,3242556.0,4248487.0
,0.0,1.0,,,3242598.0,4248530.0
1.0,1.0,1.0,,1.0,3242617.0,4248549.0
0.0,0.0,,0.0,0.0,3242621.0,4248553.0
1.0,0.0,0.0,0.0,0.0,3162449.0,4248555.0
,,,1.0,,715872.0,4248559.0
1.0,,,1.0,1.0,3242631.0,4248565.0
1.0,0.0,1.0,,,3242639.0,4248573.0
0.0,,0.0,0.0,0.0,3242645.0,4248579.0
1.0,,1.0,0.0,,3242650.0,4248584.0
1.0,0.0,0.0,,,3242673.0,4248610.0
1.0,0.0,,1.0,,2992168.0,4248612.0
0.0,0.0,,1.0,,3242682.0,4248621.0
1.0,0.0,0.0,1.0,1.0,135402594.0,4248636.0
0.0,0.0,,0.0,0.0,3242708.0,4248653.0
,,,0.0,0.0,3242710.0,4248655.0
0.0,0.0,0.0,0.0,,3242711.0,4248656.0
,,,0.0,0.0,3242712.0,4248658.0
1.0,0.0,1.0,,,135522058.0,4248659.0
,,1.0,1.0,,70766.0,4248661.0
1.0,,,1.0,,3242715.0,4248663.0
1.0,,1.0,,1.0,3242716.0,4248664.0
1.0,,1.0,0.0,1.0,3242738.0,4248690.0
1.0,0.0,0.0,1.0,,2972762.0,4248694.0
1.0,0.0,,0.0,,3242746.0,4248700.0
1.0,1.0,1.0,1.0,1.0,3242749.0,4248703.0
,0.0,,,1.0,135468506.0,4248715.0
1.0,0.0,,,0.0,599987.0,4248720.0
,0.0,1.0,0.0,0.0,3242766.0,4248726.0
0.0,0.0,0.0,0.0,,3242767.0,4248727.0
1.0,1.0,,,,3242768.0,4248728.0
0.0,,,,,3242772.0,4248733.0
,1.0,,,,3242776.0,4248738.0
1.0,0.0,1.0,1.0,,3242777.0,4248739.0
,0.0,1.0,0.0,,3242785.0,4248748.0
,0.0,0.0,0.0,0.0,3242788.0,4248751.0
1.0,,,,,3242792.0,4248756.0
,0.0,0.0,0.0,,3152509.0,4248757.0
1.0,,,,1.0,3242798.0,4248764.0
,0.0,0.0,0.0,,3242801.0,4248768.0
1.0,0.0,1.0,1.0,1.0,3242805.0,4248772.0
1.0,,,0.0,,3242840.0,4248812.0
1.0,,1.0,,,3242845.0,4248818.0
0.0,0.0,0.0,0.0,0.0,3242849.0,4248824.0
0.0,0.0,0.0,,0.0,135402275.0,4248825.0
,,,0.0,0.0,3242852.0,4248828.0
1.0,0.0,,0.0,0.0,3242877.0,4248854.0
,0.0,1.0,,,3242883.0,4248861.0
1.0,,1.0,,,3242906.0,4248885.0
,0.0,0.0,0.0,,135467358.0,4248895.0
0.0,0.0,0.0,1.0,0.0,68261.0,4248909.0
0.0,0.0,0.0,,0.0,3242936.0,4248923.0
,0.0,1.0,,0.0,3242946.0,4248935.0
,0.0,1.0,1.0,,5771437.0,4248944.0
,0.0,,0.0,0.0,3242958.0,4248948.0
,,0.0,,,3242966.0,4248956.0
,,,,,3242978.0,4248969.0
1.0,0.0,1.0,,0.0,3242983.0,4248974.0
1.0,0.0,0.0,,1.0,3242993.0,4248984.0
1.0,,1.0,0.0,0.0,3242995.0,4248986.0
1.0,0.0,1.0,0.0,0.0,3242996.0,4248987.0
1.0,1.0,1.0,1.0,1.0,2804810.0,4248990.0
,,,1.0,,1240718.0,4249007.0
1.0,,1.0,1.0,1.0,3243014.0,4249008.0
,0.0,,0.0,,135450220.0,4249014.0
1.0,0.0,1.0,,0.0,3243023.0,4249017.0
,0.0,,0.0,0.0,2899073.0,4249038.0
0.0,0.0,0.0,,0.0,3243045.0,4249041.0
,0.0,0.0,1.0,,3243057.0,4249054.0
1.0,1.0,1.0,0.0,1.0,3243076.0,4249079.0
1.0,,0.0,,,3243077.0,4249080.0
0.0,0.0,0.0,0.0,0.0,3243078.0,4249081.0
,,,0.0,0.0,3243079.0,4249082.0
0.0,0.0,1.0,,,3134044.0,4249088.0
,0.0,,,0.0,3243103.0,4249107.0
0.0,0.0,,,,3243112.0,4249118.0
,,1.0,,,3243115.0,4249121.0
1.0,0.0,1.0,1.0,,3243117.0,4249123.0
1.0,0.0,0.0,1.0,,3243127.0,4249134.0
,0.0,,0.0,0.0,3243129.0,4249136.0
0.0,1.0,,0.0,0.0,3243131.0,4249138.0
,0.0,,0.0,0.0,3243157.0,4249168.0
,0.0,0.0,1.0,,3243158.0,4249169.0
0.0,0.0,0.0,0.0,0.0,3243162.0,4249173.0
,0.0,,0.0,1.0,3243163.0,4249174.0
1.0,0.0,0.0,1.0,0.0,707391.0,4249175.0
0.0,0.0,0.0,0.0,0.0,3243172.0,4249185.0
,0.0,,1.0,,3243181.0,4249194.0
1.0,0.0,,1.0,1.0,958894.0,4249197.0
0.0,0.0,0.0,1.0,,3243206.0,4249222.0
1.0,1.0,1.0,,1.0,3243207.0,4249223.0
,0.0,,,0.0,3243211.0,4249227.0
,0.0,,0.0,1.0,3243217.0,4249235.0
0.0,0.0,,0.0,0.0,3243221.0,4249240.0
1.0,,0.0,0.0,,3243223.0,4249242.0
1.0,0.0,,,,3243226.0,4249246.0
1.0,0.0,0.0,,1.0,3243240.0,4249263.0
,0.0,,0.0,1.0,3243245.0,4249268.0
,0.0,,,,694194.0,4249269.0
1.0,0.0,,1.0,1.0,2052768.0,4249273.0
,,1.0,,0.0,3243283.0,4249311.0
1.0,,1.0,0.0,,3243287.0,4249316.0
,0.0,,0.0,0.0,3243302.0,4249336.0
,0.0,,1.0,,686110.0,4249341.0
0.0,,0.0,0.0,0.0,3243314.0,4249350.0
0.0,1.0,1.0,,,3243318.0,4249354.0
,0.0,0.0,0.0,0.0,2867472.0,4249360.0
0.0,0.0,0.0,0.0,,3243332.0,4249370.0
,0.0,0.0,0.0,0.0,3243333.0,4249371.0
1.0,0.0,,,1.0,3243358.0,4249400.0
1.0,1.0,1.0,0.0,0.0,6603654.0,4249413.0
1.0,0.0,,,,3243373.0,4249415.0
,0.0,,1.0,,2152384.0,4249432.0
,0.0,,,0.0,3243397.0,4249444.0
1.0,1.0,,,,3243398.0,4249445.0
1.0,0.0,1.0,,1.0,609231.0,4249447.0
0.0,0.0,1.0,,,3243405.0,4249453.0
1.0,,1.0,1.0,1.0,3243410.0,4249458.0
1.0,0.0,1.0,1.0,,3243415.0,4249467.0
1.0,0.0,0.0,1.0,1.0,3243424.0,4249477.0
1.0,,0.0,,0.0,3243426.0,4249479.0
,0.0,,0.0,,3243431.0,4249484.0
0.0,0.0,0.0,,0.0,1246518.0,4249486.0
,,1.0,,1.0,3243433.0,4249488.0
1.0,,,1.0,,2872630.0,4249489.0
1.0,0.0,1.0,0.0,0.0,3243443.0,4249498.0
1.0,,1.0,,,3243454.0,4249509.0
0.0,0.0,0.0,0.0,0.0,3243463.0,4249519.0
0.0,0.0,0.0,,,747498.0,4249537.0
1.0,,,,,3243485.0,4249546.0
,0.0,0.0,1.0,,600980.0,4249554.0
,,1.0,0.0,0.0,3243494.0,4249559.0
1.0,1.0,1.0,,,3243496.0,4249561.0
1.0,,,1.0,1.0,3243500.0,4249564.0
,,,0.0,1.0,3243503.0,4249569.0
,0.0,0.0,1.0,,3243507.0,4249573.0
1.0,,1.0,1.0,,3243508.0,4249574.0
,0.0,1.0,,1.0,3243514.0,4249581.0
,0.0,0.0,0.0,0.0,3243524.0,4249592.0
,0.0,0.0,0.0,0.0,426788.0,4249597.0
0.0,0.0,,,0.0,135406169.0,4249606.0
1.0,,,1.0,,3243545.0,4249617.0
0.0,0.0,0.0,0.0,0.0,3243567.0,4249640.0
0.0,0.0,,0.0,0.0,3243581.0,4249657.0
0.0,0.0,0.0,0.0,0.0,3243589.0,4249666.0
1.0,0.0,,,,3243590.0,4249667.0
0.0,,,1.0,0.0,3243599.0,4249678.0
,0.0,0.0,,0.0,2133145.0,4249683.0
0.0,0.0,0.0,0.0,0.0,3243609.0,4249690.0
1.0,,1.0,,,3243615.0,4249697.0
,,1.0,1.0,1.0,3243623.0,4249708.0
0.0,0.0,0.0,0.0,,3243635.0,4249721.0
0.0,,0.0,,0.0,3243636.0,4249722.0
0.0,0.0,,,,1826320.0,4249732.0
1.0,,0.0,,1.0,3243650.0,4249740.0
1.0,0.0,0.0,,0.0,3243652.0,4249742.0
0.0,0.0,0.0,0.0,1.0,2155640.0,4249752.0
,0.0,0.0,,0.0,232388.0,4249762.0
0.0,0.0,0.0,0.0,0.0,3243674.0,4249770.0
1.0,1.0,1.0,,1.0,3243676.0,4249773.0
1.0,,1.0,0.0,,3243698.0,4249800.0
,0.0,1.0,0.0,,3243701.0,4249803.0
1.0,0.0,,,1.0,3243716.0,4249821.0
1.0,0.0,1.0,,1.0,3243718.0,4249823.0
0.0,0.0,0.0,0.0,0.0,3243725.0,4249831.0
,,1.0,,0.0,3243742.0,4249854.0
0.0,0.0,0.0,0.0,0.0,694660.0,4249856.0
,0.0,0.0,,1.0,3243751.0,4249865.0
1.0,,0.0,1.0,,3243758.0,4249874.0
,,0.0,,,3243772.0,4249892.0
1.0,0.0,,0.0,1.0,3243791.0,4249912.0
1.0,0.0,1.0,,1.0,3243795.0,4249916.0
1.0,,1.0,,,3243797.0,4249918.0
0.0,0.0,0.0,1.0,0.0,3243819.0,4249942.0
,0.0,0.0,,0.0,757187.0,4249963.0
1.0,,1.0,,0.0,3243841.0,4249966.0
1.0,,1.0,,1.0,3243842.0,4249967.0
,0.0,,0.0,,3243851.0,4249976.0
0.0,0.0,0.0,0.0,0.0,3243857.0,4249983.0
1.0,0.0,0.0,1.0,1.0,3243869.0,4249996.0
1.0,,,0.0,1.0,3243874.0,4250001.0
,0.0,,,,9555296.0,4250002.0
0.0,0.0,0.0,0.0,0.0,3243879.0,4250008.0
1.0,0.0,,1.0,,3243894.0,4250026.0
1.0,,1.0,1.0,,3243899.0,4250031.0
,0.0,,,,3243900.0,4250032.0
,0.0,,,0.0,3243906.0,4250038.0
0.0,0.0,1.0,,,3243918.0,4250051.0
0.0,,1.0,0.0,,3243919.0,4250052.0
,0.0,1.0,1.0,,3243935.0,4250068.0
1.0,0.0,1.0,0.0,,3243941.0,4250079.0
1.0,0.0,,,,3243949.0,4250088.0
1.0,0.0,1.0,,1.0,3243958.0,4250100.0
,1.0,0.0,1.0,,3243959.0,4250101.0
,0.0,0.0,0.0,0.0,3243960.0,4250102.0
1.0,0.0,1.0,,1.0,3243961.0,4250103.0
0.0,,,0.0,0.0,3243964.0,4250106.0
,0.0,,0.0,,3243980.0,4250123.0
,,1.0,0.0,,3243981.0,4250124.0
1.0,0.0,,0.0,,3243986.0,4250129.0
0.0,0.0,,,0.0,1010280.0,4250132.0
,0.0,,1.0,,3244010.0,4250158.0
,,,0.0,,3244020.0,4250170.0
1.0,0.0,,,1.0,223042.0,4250180.0
,0.0,0.0,1.0,,3244032.0,4250184.0
0.0,0.0,0.0,,,69089.0,4250195.0
0.0,0.0,,,1.0,3244046.0,4250199.0
,,,0.0,,3244053.0,4250207.0
1.0,,,,,3244066.0,4250221.0
,,0.0,0.0,0.0,3244069.0,4250224.0
0.0,0.0,0.0,,,3244072.0,4250228.0
,0.0,,0.0,,3244088.0,4250245.0
,0.0,,0.0,1.0,3244091.0,4250251.0
,0.0,0.0,1.0,,3244097.0,4250258.0
,1.0,1.0,,,3244103.0,4250265.0
0.0,0.0,0.0,0.0,0.0,1284314.0,4250267.0
0.0,0.0,0.0,,0.0,3244105.0,4250268.0
0.0,0.0,0.0,,1.0,3244106.0,4250269.0
1.0,0.0,,,0.0,3244107.0,4250270.0
0.0,0.0,0.0,0.0,0.0,3244119.0,4250284.0
,,1.0,1.0,,3244121.0,4250286.0
1.0,,0.0,1.0,,3244122.0,4250288.0
0.0,,1.0,,,3244137.0,4250303.0
0.0,0.0,0.0,,0.0,3244150.0,4250317.0
1.0,1.0,0.0,,0.0,3244151.0,4250318.0
0.0,0.0,,,,1261908.0,4250320.0
0.0,0.0,0.0,0.0,0.0,3244152.0,4250321.0
1.0,0.0,1.0,1.0,,3244163.0,4250334.0
0.0,0.0,,0.0,,3244169.0,4250342.0
0.0,,0.0,0.0,1.0,2155641.0,4250343.0
0.0,0.0,,0.0,0.0,3244177.0,4250355.0
1.0,,,1.0,,3244179.0,4250357.0
1.0,,,,1.0,1720681.0,4250361.0
,0.0,0.0,0.0,,3244210.0,4250391.0
,0.0,,0.0,1.0,3244213.0,4250394.0
,0.0,,0.0,,3244227.0,4250409.0
,,0.0,0.0,0.0,3244228.0,4250410.0
1.0,0.0,0.0,,,3244239.0,4250426.0
0.0,0.0,0.0,0.0,0.0,3244244.0,4250432.0
,0.0,,,0.0,1002592.0,4250448.0
1.0,,1.0,,1.0,3244268.0,4250462.0
,0.0,,0.0,,135485415.0,4250472.0
,,,1.0,1.0,3244283.0,4250479.0
1.0,0.0,,,,3244285.0,4250482.0
0.0,0.0,0.0,0.0,0.0,3244292.0,4250490.0
0.0,0.0,0.0,,,539709.0,4250496.0
,1.0,,0.0,0.0,3244297.0,4250497.0
0.0,0.0,1.0,0.0,,135412481.0,4250500.0
0.0,0.0,,,0.0,3244305.0,4250505.0
0.0,,0.0,,0.0,3244309.0,4250510.0
1.0,,1.0,,,3244312.0,4250513.0
,0.0,0.0,1.0,,3244317.0,4250519.0
0.0,,0.0,0.0,0.0,3244341.0,4250544.0
0.0,0.0,0.0,0.0,0.0,1285300.0,4250552.0
0.0,0.0,0.0,0.0,0.0,3244348.0,4250553.0
0.0,0.0,1.0,,,3244361.0,4250566.0
0.0,0.0,,0.0,,3244367.0,4250573.0
1.0,0.0,,,,3244392.0,4250601.0
0.0,0.0,0.0,0.0,0.0,619876.0,4250618.0
0.0,0.0,0.0,0.0,,841483.0,4250629.0
0.0,0.0,0.0,0.0,0.0,3244423.0,4250639.0
,,0.0,1.0,,719057.0,4250644.0
0.0,,,0.0,,3244429.0,4250647.0
1.0,,,,1.0,3244432.0,4250651.0
0.0,0.0,0.0,0.0,,135485417.0,4250655.0
0.0,0.0,1.0,0.0,,3244446.0,4250667.0
1.0,0.0,0.0,1.0,1.0,3244448.0,4250669.0
,1.0,0.0,0.0,0.0,6602879.0,4250672.0
1.0,0.0,0.0,1.0,,541823.0,4250676.0
,,,0.0,,6603657.0,4250683.0
,0.0,,0.0,,3244466.0,4250693.0
,0.0,,0.0,1.0,3244469.0,4250696.0
0.0,0.0,0.0,,0.0,3244472.0,4250700.0
1.0,,1.0,1.0,,3244475.0,4250705.0
1.0,0.0,1.0,0.0,0.0,3244478.0,4250708.0
,0.0,,1.0,,3244489.0,4250722.0
,0.0,,,,3244503.0,4250736.0
,0.0,,,,6997824.0,4250775.0
1.0,0.0,1.0,0.0,,3244564.0,4250804.0
,0.0,0.0,0.0,,3244580.0,4250821.0
